AirportID,IataCode,IcaoCode,Name,City,Country,Timezone,Dst
76,YJN,CYJN,St Jean Airport,St. Jean,Canada,-5,A
77,YJT,CYJT,Stephenville Airport,Stephenville,Canada,-3.5,A
78,YKA,CYKA,Kamloops Airport,Kamloops,Canada,-8,A
79,YKF,CYKF,Waterloo Airport,Waterloo,Canada,-5,A
80,YKL,CYKL,Schefferville Airport,Schefferville,Canada,-5,A
81,YKY,CYKY,Kindersley Airport,Kindersley,Canada,-6,N
82,YKZ,CYKZ,Buttonville Municipal Airport,Toronto,Canada,-5,A
83,YLD,CYLD,Chapleau Airport,Chapleau,Canada,-5,A
84,YLJ,CYLJ,Meadow Lake Airport,Meadow Lake,Canada,-6,N
85,YLL,CYLL,Lloydminster Airport,Lloydminster,Canada,-7,A
86,YLT,CYLT,Alert Airport,Alert,Canada,-5,A
87,YLW,CYLW,Kelowna International Airport,Kelowna,Canada,-8,A
88,YMA,CYMA,Mayo Airport,Mayo,Canada,-8,A
89,YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,-6,N
90,YMM,CYMM,Fort McMurray Airport,Fort Mcmurray,Canada,-7,A
91,YMO,CYMO,Moosonee Airport,Moosonee,Canada,-5,A
92,YMW,CYMW,Maniwaki Airport,Maniwaki,Canada,-5,A
93,YMX,CYMX,Montreal International (Mirabel) Airport,Montreal,Canada,-5,A
94,YNA,CYNA,Natashquan Airport,Natashquan,Canada,-5,A
95,YND,CYND,Ottawa / Gatineau Airport,Gatineau,Canada,-5,A
96,YNM,CYNM,Matagami Airport,Matagami,Canada,-5,A
97,YOC,CYOC,Old Crow Airport,Old Crow,Canada,-8,A
98,YOD,CYOD,CFB Cold Lake,Cold Lake,Canada,-7,A
99,YOJ,CYOJ,High Level Airport,High Level,Canada,-7,A
100,YOW,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,-5,A
101,YPA,CYPA,Prince Albert Glass Field,Prince Albert,Canada,-6,N
102,YPE,CYPE,Peace River Airport,Peace River,Canada,-7,A
103,YPG,CYPG,Southport Airport,Portage-la-prairie,Canada,-6,A
105,YPL,CYPL,Pickle Lake Airport,Pickle Lake,Canada,-5,A
106,YPN,CYPN,Port Menier Airport,Port Menier,Canada,-5,A
107,YPQ,CYPQ,Peterborough Airport,Peterborough,Canada,-5,A
108,YPR,CYPR,Prince Rupert Airport,Prince Pupert,Canada,-8,A
109,YPY,CYPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,-7,A
110,YQA,CYQA,Muskoka Airport,Muskoka,Canada,-5,A
111,YQB,CYQB,Quebec Jean Lesage International Airport,Quebec,Canada,-5,A
112,YQF,CYQF,Red Deer Regional Airport,Red Deer Industrial,Canada,-7,A
113,YQG,CYQG,Windsor Airport,Windsor,Canada,-5,A
114,YQH,CYQH,Watson Lake Airport,Watson Lake,Canada,-8,A
115,YQK,CYQK,Kenora Airport,Kenora,Canada,-6,A
116,YQL,CYQL,Lethbridge County Airport,Lethbridge,Canada,-7,A
117,YQM,CYQM,Greater Moncton International Airport,Moncton,Canada,-4,A
119,YQQ,CYQQ,Comox Airport,Comox,Canada,-8,A
120,YQR,CYQR,Regina International Airport,Regina,Canada,-6,N
121,YQT,CYQT,Thunder Bay Airport,Thunder Bay,Canada,-5,A
122,YQU,CYQU,Grande Prairie Airport,Grande Prairie,Canada,-7,A
123,YQV,CYQV,Yorkton Municipal Airport,Yorkton,Canada,-6,N
124,YQW,CYQW,North Battleford Airport,North Battleford,Canada,-6,N
125,YQX,CYQX,Gander International Airport,Gander,Canada,-3.5,A
126,YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,-4,A
127,YQZ,CYQZ,Quesnel Airport,Quesnel,Canada,-8,A
128,YRB,CYRB,Resolute Bay Airport,Resolute,Canada,-6,A
129,YRI,CYRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,-5,A
130,YRJ,CYRJ,Roberval Airport,Roberval,Canada,-5,A
131,YRM,CYRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,-7,A
132,YRT,CYRT,Rankin Inlet Airport,Rankin Inlet,Canada,-6,A
133,YSB,CYSB,Sudbury Airport,Sudbury,Canada,-5,A
134,YSC,CYSC,Sherbrooke Airport,Sherbrooke,Canada,-5,A
135,YSJ,CYSJ,Saint John Airport,St. John,Canada,-4,A
136,YSM,CYSM,Fort Smith Airport,Fort Smith,Canada,-7,A
137,YSR,CYSR,Nanisivik Airport,Nanisivik,Canada,-5,A
138,YSU,CYSU,Summerside Airport,Summerside,Canada,-4,A
139,YSY,CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,-7,A
140,YTE,CYTE,Cape Dorset Airport,Cape Dorset,Canada,-5,A
141,YTH,CYTH,Thompson Airport,Thompson,Canada,-6,A
142,YTR,CYTR,CFB Trenton,Trenton,Canada,-5,A
143,YTS,CYTS,Timmins/Victor M. Power,Timmins,Canada,-5,A
144,YTZ,CYTZ,Billy Bishop Toronto City Centre Airport,Toronto,Canada,-5,A
145,YUB,CYUB,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,-7,A
146,YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,-5,A
147,YUT,CYUT,Repulse Bay Airport,Repulse Bay,Canada,-6,A
148,YUX,CYUX,Hall Beach Airport,Hall Beach,Canada,-5,A
149,YUY,CYUY,Rouyn Noranda Airport,Rouyn,Canada,-5,A
150,YVC,CYVC,La Ronge Airport,La Ronge,Canada,-6,N
151,YVG,CYVG,Vermilion Airport,Vermillion,Canada,-7,A
152,YVM,CYVM,Qikiqtarjuaq Airport,Broughton Island,Canada,-5,A
153,YVO,CYVO,Val-d'Or Airport,Val D'or,Canada,-5,A
154,YVP,CYVP,Kuujjuaq Airport,Quujjuaq,Canada,-5,A
155,YVQ,CYVQ,Norman Wells Airport,Norman Wells,Canada,-7,A
156,YVR,CYVR,Vancouver International Airport,Vancouver,Canada,-8,A
157,YVT,CYVT,Buffalo Narrows Airport,Buffalo Narrows,Canada,-6,N
158,YVV,CYVV,Wiarton Airport,Wiarton,Canada,-5,A
159,YWA,CYWA,Petawawa Airport,Petawawa,Canada,-5,A
160,YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,-6,A
161,YWK,CYWK,Wabush Airport,Wabush,Canada,-4,A
162,YWL,CYWL,Williams Lake Airport,Williams Lake,Canada,-8,A
163,YWY,CYWY,Wrigley Airport,Wrigley,Canada,-7,A
164,YXC,CYXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,-7,A
165,YXD,CYXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,-7,A
166,YXE,CYXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,-6,N
167,YXH,CYXH,Medicine Hat Airport,Medicine Hat,Canada,-7,A
168,YXJ,CYXJ,Fort St John Airport,Fort Saint John,Canada,-7,A
169,YXL,CYXL,Sioux Lookout Airport,Sioux Lookout,Canada,-6,A
170,YXP,CYXP,Pangnirtung Airport,Pangnirtung,Canada,-5,A
171,YXR,CYXR,Earlton (Timiskaming Regional) Airport,Earlton,Canada,-5,A
172,YXS,CYXS,Prince George Airport,Prince George,Canada,-8,A
173,YXT,CYXT,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,-8,A
174,YXU,CYXU,London Airport,London,Canada,-5,A
175,YXX,CYXX,Abbotsford Airport,Abbotsford,Canada,-8,A
176,YXY,CYXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,-8,A
177,YYB,CYYB,North Bay Jack Garland Airport,North Bay,Canada,-5,A
178,YYC,CYYC,Calgary International Airport,Calgary,Canada,-7,A
179,YYD,CYYD,Smithers Airport,Smithers,Canada,-8,A
180,YYE,CYYE,Fort Nelson Airport,Fort Nelson,Canada,-8,A
181,YYF,CYYF,Penticton Airport,Penticton,Canada,-8,A
182,YYG,CYYG,Charlottetown Airport,Charlottetown,Canada,-4,A
183,YYH,CYYH,Taloyoak Airport,Spence Bay,Canada,-7,A
184,YYJ,CYYJ,Victoria International Airport,Victoria,Canada,-8,A
185,YYL,CYYL,Lynn Lake Airport,Lynn Lake,Canada,-6,A
186,YYN,CYYN,Swift Current Airport,Swift Current,Canada,-6,N
187,YYQ,CYYQ,Churchill Airport,Churchill,Canada,-6,A
188,YYR,CYYR,Goose Bay Airport,Goose Bay,Canada,-4,A
189,YYT,CYYT,St. John's International Airport,St. John's,Canada,-3.5,A
190,YYU,CYYU,Kapuskasing Airport,Kapuskasing,Canada,-5,A
191,YYW,CYYW,Armstrong Airport,Armstrong,Canada,-5,A
192,YYY,CYYY,Mont Joli Airport,Mont Joli,Canada,-5,A
193,YYZ,CYYZ,Lester B. Pearson International Airport,Toronto,Canada,-5,A
194,YZD,CYZD,Downsview Airport,Toronto,Canada,-5,A
195,YZE,CYZE,Gore Bay Manitoulin Airport,Gore Bay,Canada,-5,A
196,YZF,CYZF,Yellowknife Airport,Yellowknife,Canada,-7,A
197,YZH,CYZH,Slave Lake Airport,Slave Lake,Canada,-7,A
198,YZP,CYZP,Sandspit Airport,Sandspit,Canada,-8,A
199,YZR,CYZR,Chris Hadfield Airport,Sarnia,Canada,-5,A
200,YZT,CYZT,Port Hardy Airport,Port Hardy,Canada,-8,A
201,YZU,CYZU,Whitecourt Airport,Whitecourt,Canada,-7,A
202,YZV,CYZV,Sept-Îles Airport,Sept-iles,Canada,-5,A
203,YZW,CYZW,Teslin Airport,Teslin,Canada,-8,A
204,YZX,CYZX,CFB Greenwood,Greenwood,Canada,-4,A
205,ZFA,CZFA,Faro Airport,Faro,Canada,-8,A
206,ZFM,CZFM,Fort Mcpherson Airport,Fort Mcpherson,Canada,-7,A
207,QLD,DAAB,Blida Airport,Blida,Algeria,1,N
208,BUJ,DAAD,Bou Saada Airport,Bou Saada,Algeria,1,N
209,BJA,DAAE,Soummam Airport,Bejaja,Algeria,1,N
210,ALG,DAAG,Houari Boumediene Airport,Algier,Algeria,1,N
211,DJG,DAAJ,Djanet Inedbirene Airport,Djanet,Algeria,1,N
214,VVZ,DAAP,Illizi Takhamalt Airport,Illizi,Algeria,1,N
216,TMR,DAAT,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,1,N
217,GJL,DAAV,Jijel Ferhat Abbas Airport,Jijel,Algeria,1,N
218,MZW,DAAY,Mecheria Airport,Mecheria,Algeria,1,N
220,AAE,DABB,Rabah Bitat Airport,Annaba,Algeria,1,N
221,CZL,DABC,Mohamed Boudiaf International Airport,Constantine,Algeria,1,N
222,TEE,DABS,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,1,N
224,HRM,DAFH,Hassi R'Mel Airport,Tilrempt,Algeria,1,N
225,TID,DAOB,Bou Chekif Airport,Tiaret,Algeria,1,N
227,TIN,DAOF,Tindouf Airport,Tindouf,Algeria,1,N
228,CFK,DAOI,Ech Cheliff Airport,Ech-cheliff,Algeria,1,N
229,TAF,DAOL,Tafaraoui Airport,Oran,Algeria,1,N
230,TLM,DAON,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,1,N
231,ORN,DAOO,Es Senia Airport,Oran,Algeria,1,N
232,BFW,DAOS,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,1,N
233,MUW,DAOV,Ghriss Airport,Ghriss,Algeria,1,N
234,AZR,DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,1,N
235,BSK,DAUB,Biskra Airport,Biskra,Algeria,1,N
236,ELG,DAUE,El Golea Airport,El Golea,Algeria,1,N
237,GHA,DAUG,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,1,N
238,HME,DAUH,Oued Irara Airport,Hassi Messaoud,Algeria,1,N
239,INZ,DAUI,In Salah Airport,In Salah,Algeria,1,N
240,TGR,DAUK,Touggourt Sidi Madhi Airport,Touggourt,Algeria,1,N
241,LOO,DAUL,Laghouat Airport,Laghouat,Algeria,1,N
242,TMX,DAUT,Timimoun Airport,Timimoun,Algeria,1,N
243,OGX,DAUU,Ain el Beida Airport,Ouargla,Algeria,1,N
244,IAM,DAUZ,In Aménas Airport,Zarzaitine,Algeria,1,N
245,COO,DBBB,Cadjehoun Airport,Cotonou,Benin,1,N
246,OUA,DFFD,Ouagadougou Airport,Ouagadougou,Burkina Faso,0,N
247,BOY,DFOO,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,0,N
248,ACC,DGAA,Kotoka International Airport,Accra,Ghana,0,N
249,TML,DGLE,Tamale Airport,Tamale,Ghana,0,N
251,NYI,DGSN,Sunyani Airport,Sunyani,Ghana,0,N
252,TKD,DGTK,Takoradi Airport,Takoradi,Ghana,0,N
253,ABJ,DIAP,Port Bouet Airport,Abidjan,Cote d'Ivoire,0,N
254,BYK,DIBK,Bouaké Airport,Bouake,Cote d'Ivoire,0,N
255,DJO,DIDL,Daloa Airport,Daloa,Cote d'Ivoire,0,N
256,HGO,DIKO,Korhogo Airport,Korhogo,Cote d'Ivoire,0,N
257,MJC,DIMN,Man Airport,Man,Cote d'Ivoire,0,N
258,SPY,DISP,San Pedro Airport,San Pedro,Cote d'Ivoire,0,N
259,ASK,DIYO,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,0,N
260,ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,Nigeria,1,N
261,AKR,DNAK,Akure Airport,Akure,Nigeria,1,N
262,BNI,DNBE,Benin Airport,Benin,Nigeria,1,N
263,CBQ,DNCA,Margaret Ekpo International Airport,Calabar,Nigeria,1,N
264,ENU,DNEN,Akanu Ibiam International Airport,Enugu,Nigeria,1,N
266,IBA,DNIB,Ibadan Airport,Ibadan,Nigeria,1,N
267,ILR,DNIL,Ilorin International Airport,Ilorin,Nigeria,1,N
268,JOS,DNJO,Yakubu Gowon Airport,Jos,Nigeria,1,N
269,KAD,DNKA,Kaduna Airport,Kaduna,Nigeria,1,N
270,KAN,DNKN,Mallam Aminu International Airport,Kano,Nigeria,1,N
271,MIU,DNMA,Maiduguri International Airport,Maiduguri,Nigeria,1,N
272,MDI,DNMK,Makurdi Airport,Makurdi,Nigeria,1,N
273,LOS,DNMM,Murtala Muhammed International Airport,Lagos,Nigeria,1,N
274,MXJ,DNMN,Minna Airport,Minna,Nigeria,1,N
275,PHC,DNPO,Port Harcourt International Airport,Port Hartcourt,Nigeria,1,N
276,SKO,DNSO,Sadiq Abubakar III International Airport,Sokoto,Nigeria,1,N
277,YOL,DNYO,Yola Airport,Yola,Nigeria,1,N
278,ZAR,DNZA,Zaria Airport,Zaria,Nigeria,1,N
279,MFQ,DRRM,Maradi Airport,Maradi,Niger,1,N
280,NIM,DRRN,Diori Hamani International Airport,Niamey,Niger,1,N
281,THZ,DRRT,Tahoua Airport,Tahoua,Niger,1,N
282,AJY,DRZA,Mano Dayak International Airport,Agadez,Niger,1,N
285,ZND,DRZR,Zinder Airport,Zinder,Niger,1,N
286,MIR,DTMB,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,1,E
287,TUN,DTTA,Tunis Carthage International Airport,Tunis,Tunisia,1,E
290,GAF,DTTF,Gafsa Ksar International Airport,Gafsa,Tunisia,1,E
291,GAE,DTTG,Gabès Matmata International Airport,Gabes,Tunisia,1,E
293,DJE,DTTJ,Djerba Zarzis International Airport,Djerba,Tunisia,1,E
294,EBM,DTTR,El Borma Airport,El Borma,Tunisia,1,E
295,SFA,DTTX,Sfax Thyna International Airport,Sfax,Tunisia,1,E
296,TOE,DTTZ,Tozeur Nefta International Airport,Tozeur,Tunisia,1,E
297,LRL,DXNG,Niamtougou International Airport,Niatougou,Togo,0,N
298,LFW,DXXX,Lomé-Tokoin Airport,Lome,Togo,0,N
299,ANR,EBAW,Antwerp International Airport (Deurne),Antwerp,Belgium,1,E
302,BRU,EBBR,Brussels Airport,Brussels,Belgium,1,E
304,CRL,EBCI,Brussels South Charleroi Airport,Charleroi,Belgium,1,E
308,KJK,EBKT,Wevelgem Airport,Kortrijk-vevelgem,Belgium,1,E
309,LGG,EBLG,Liège Airport,Liege,Belgium,1,E
310,OST,EBOS,Ostend-Bruges International Airport,Ostend,Belgium,1,E
316,OBL,EBZR,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,1,E
318,AOC,EDAC,Altenburg-Nobitz Airport,Altenburg,Germany,1,E
325,IES,EDAU,Riesa-Göhlis Airport,Riesa,Germany,1,E
326,REB,EDAX,Rechlin-Lärz Airport,Rechlin-laerz,Germany,1,E
328,QXH,EDAZ,Schönhagen Airport,Schoenhagen,Germany,1,E
329,BBH,EDBH,Barth Airport,Barth,Germany,1,E
332,ZMG,EDBM,"Magdeburg ""City"" Airport",Magdeburg,Germany,1,E
335,CBU,EDCD,Cottbus-Drewitz Airport,Cottbus,Germany,1,E
337,SXF,EDDB,Berlin-Schönefeld Airport,Berlin,Germany,1,E
338,DRS,EDDC,Dresden Airport,Dresden,Germany,1,E
339,ERF,EDDE,Erfurt Airport,Erfurt,Germany,1,E
340,FRA,EDDF,Frankfurt am Main Airport,Frankfurt,Germany,1,E
341,FMO,EDDG,Münster Osnabrück Airport,Munster,Germany,1,E
342,HAM,EDDH,Hamburg Airport,Hamburg,Germany,1,E
343,THF,EDDI,Berlin-Tempelhof International Airport,Berlin,Germany,1,E
344,CGN,EDDK,Cologne Bonn Airport,Cologne,Germany,1,E
345,DUS,EDDL,Düsseldorf Airport,Duesseldorf,Germany,1,E
346,MUC,EDDM,Munich Airport,Munich,Germany,1,E
347,NUE,EDDN,Nuremberg Airport,Nuernberg,Germany,1,E
348,LEJ,EDDP,Leipzig/Halle Airport,Leipzig,Germany,1,E
349,SCN,EDDR,Saarbrücken Airport,Saarbruecken,Germany,1,E
350,STR,EDDS,Stuttgart Airport,Stuttgart,Germany,1,E
351,TXL,EDDT,Berlin-Tegel Airport,Berlin,Germany,1,E
352,HAJ,EDDV,Hannover Airport,Hannover,Germany,1,E
353,BRE,EDDW,Bremen Airport,Bremen,Germany,1,E
354,QEF,EDFE,Frankfurt-Egelsbach Airport,Egelsbach,Germany,1,E
355,HHN,EDFH,Frankfurt-Hahn Airport,Hahn,Germany,1,E
356,MHG,EDFM,Mannheim-City Airport,Mannheim,Germany,1,E
360,EIB,EDGE,Eisenach-Kindel Airport,Eisenach,Germany,1,E
361,SGE,EDGS,Siegerland Airport,Siegerland,Germany,1,E
362,XFW,EDHI,Hamburg-Finkenwerder Airport,Hamburg,Germany,1,E
363,KEL,EDHK,Kiel-Holtenau Airport,Kiel,Germany,1,E
364,LBC,EDHL,Lübeck Blankensee Airport,Luebeck,Germany,1,E
368,ESS,EDLE,Essen Mulheim Airport,Essen,Germany,1,E
369,BFE,EDLI,Bielefeld Airport,Bielefeld,Germany,1,E
370,MGL,EDLN,Mönchengladbach Airport,Moenchengladbach,Germany,1,E
371,PAD,EDLP,Paderborn Lippstadt Airport,Paderborn,Germany,1,E
373,DTM,EDLW,Dortmund Airport,Dortmund,Germany,1,E
374,AGB,EDMA,Augsburg Airport,Augsburg,Germany,1,E
378,OBF,EDMO,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,1,E
379,RBM,EDMS,Straubing Airport,Straubing,Germany,1,E
382,FDH,EDNY,Friedrichshafen Airport,Friedrichshafen,Germany,1,E
383,SZW,EDOP,Schwerin Parchim Airport,Parchim,Germany,1,E
386,BYU,EDQD,Bayreuth Airport,Bayreuth,Germany,1,E
387,URD,EDQE,Burg Feuerstein Airport,Burg Feuerstein,Germany,1,E
388,HOQ,EDQM,Hof-Plauen Airport,Hof,Germany,1,E
393,ZQW,EDRZ,Zweibrücken Airport,Zweibruecken,Germany,1,E
394,ZQL,EDTD,Donaueschingen-Villingen Airport,Donaueschingen,Germany,1,E
399,BWE,EDVE,Braunschweig-Wolfsburg Airport,Braunschweig,Germany,1,E
400,KSF,EDVK,Kassel-Calden Airport,Kassel,Germany,1,E
402,BRV,EDWB,Bremerhaven Airport,Bremerhaven,Germany,1,E
403,EME,EDWE,Emden Airport,Emden,Germany,1,E
405,WVN,EDWI,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,1,E
406,BMK,EDWR,Borkum Airport,Borkum,Germany,1,E
407,NRD,EDWY,Norderney Airport,Norderney,Germany,1,E
408,FLF,EDXF,Flensburg-Schäferhaus Airport,Flensburg,Germany,1,E
410,GWT,EDXW,Westerland Sylt Airport,Westerland,Germany,1,E
412,KDL,EEKA,Kärdla Airport,Kardla,Estonia,2,E
413,URE,EEKE,Kuressaare Airport,Kuressaare,Estonia,2,E
414,EPU,EEPU,Pärnu Airport,Parnu,Estonia,2,E
415,TLL,EETN,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,2,E
416,TAY,EETU,Tartu Airport,Tartu,Estonia,2,E
417,ENF,EFET,Enontekio Airport,Enontekio,Finland,2,E
419,KEV,EFHA,Halli Airport,Halli,Finland,2,E
420,HEM,EFHF,Helsinki Malmi Airport,Helsinki,Finland,2,E
421,HEL,EFHK,Helsinki Vantaa Airport,Helsinki,Finland,2,E
424,HYV,EFHV,Hyvinkää Airfield,Hyvinkaa,Finland,2,E
427,KTQ,EFIT,Kitee Airport,Kitee,Finland,2,E
428,IVL,EFIV,Ivalo Airport,Ivalo,Finland,2,E
429,JOE,EFJO,Joensuu Airport,Joensuu,Finland,2,E
430,JYV,EFJY,Jyvaskyla Airport,Jyvaskyla,Finland,2,E
431,KAU,EFKA,Kauhava Airport,Kauhava,Finland,2,E
432,KEM,EFKE,Kemi-Tornio Airport,Kemi,Finland,2,E
433,KAJ,EFKI,Kajaani Airport,Kajaani,Finland,2,E
434,KHJ,EFKJ,Kauhajoki Airport,Kauhajoki,Finland,2,E
435,KOK,EFKK,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,2,E
437,KAO,EFKS,Kuusamo Airport,Kuusamo,Finland,2,E
438,KTT,EFKT,Kittilä Airport,Kittila,Finland,2,E
439,KUO,EFKU,Kuopio Airport,Kuopio,Finland,2,E
440,QLF,EFLA,Lahti Vesivehmaa Airport,Vesivehmaa,Finland,2,E
